months_programming,hours_learning_per_week,num_learning_resources,attended_bootcamp,is_under_employed,is_ethnic_minority,has_degree,is_high_income_country,log_expected_earning,paid_contributor,gender_clean,age_group,age_numeric
2.0,14.0,0.0,0,0,0,0,0,10.308985993422082,0,man,young,18.0
8.0,28.0,0.0,0,1,1,1,0,10.633472802314019,0,man,experienced,42.0
8.0,10.0,0.0,0,1,1,1,0,10.633472802314019,1,man,young,28.0
1.0,12.0,0.0,0,1,1,0,1,11.002116507732017,0,woman,young,26.0
2.0,14.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,19.0
30.0,15.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,28.0
0.0,1.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,24.0
12.0,2.0,0.0,0,0,0,0,0,10.633472802314019,0,woman,young,20.0
10.0,40.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,18.0
12.0,10.0,0.0,0,0,0,0,0,10.308985993422082,0,man,young,24.0
6.0,10.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,18.0
1.0,14.0,0.0,0,1,1,1,0,6.089044875446846,0,woman,young,25.0
5.0,5.0,0.0,0,1,0,0,0,10.819798284210286,0,man,young,25.0
1.0,4.0,0.0,0,1,0,1,0,10.308985993422082,0,man,experienced,41.0
2.0,12.0,0.0,0,0,0,0,0,8.006700845440367,0,man,young,29.0
1.0,20.0,0.0,0,0,1,0,0,10.308985993422082,0,man,experienced,38.0
4.0,3.0,0.0,0,1,0,0,0,10.633472802314019,1,man,young,22.0
2.0,5.0,0.0,0,0,1,1,1,10.633472802314019,0,man,experienced,35.0
6.0,6.0,0.0,0,0,0,1,1,10.633472802314019,0,man,experienced,58.0
3.0,25.0,0.0,0,0,0,1,1,10.819798284210286,0,man,young,24.0
6.0,10.0,0.0,0,0,1,1,1,10.633472802314019,0,man,young,31.0
1.0,5.0,0.0,0,1,0,0,1,10.633472802314019,0,man,young,34.0
0.0,30.0,0.0,0,0,1,1,1,11.289794413577894,0,man,young,30.0
0.0,0.0,0.0,0,0,1,0,1,11.51293546492023,0,man,young,15.0
0.0,20.0,0.0,0,0,1,1,1,11.289794413577894,0,man,young,30.0
8.0,3.0,0.0,0,1,0,1,1,10.596659732783579,0,man,young,31.0
24.0,5.0,0.0,0,1,0,1,0,10.633472802314019,1,man,young,27.0
20.0,20.0,0.0,0,0,0,0,1,11.082157933374816,0,man,young,23.0
0.0,10.0,0.0,0,1,1,0,1,10.633472802314019,0,woman,young,34.0
10.0,20.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,20.0
6.0,40.0,0.0,0,0,1,0,1,10.819798284210286,0,man,young,26.0
30.0,25.0,0.0,0,0,0,1,0,6.90875477931522,0,man,young,20.0
4.0,6.0,0.0,0,1,0,0,1,10.714439990727769,0,man,young,32.0
0.0,7.0,0.0,0,0,0,1,1,10.633472802314019,0,man,experienced,39.0
3.0,24.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,15.0
30.0,12.0,0.0,0,0,1,1,1,10.596659732783579,0,man,young,23.0
1.0,5.0,0.0,0,0,1,1,1,10.714439990727769,0,woman,experienced,47.0
2.0,15.0,0.0,0,1,0,0,1,11.225256725762893,0,woman,experienced,38.0
7.0,2.0,0.0,0,0,1,0,1,10.633472802314019,0,man,young,20.0
50.0,5.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,21.0
0.0,40.0,0.0,0,1,1,0,1,10.633472802314019,0,man,young,29.0
6.0,8.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,18.0
3.0,5.0,0.0,0,1,0,1,1,10.633472802314019,0,man,experienced,35.0
0.0,3.0,0.0,0,0,1,0,1,10.633472802314019,0,man,experienced,37.0
0.0,15.0,0.0,0,1,0,0,1,11.002116507732017,0,woman,young,29.0
1.0,7.0,0.0,0,1,0,1,0,10.633472802314019,0,man,young,29.0
12.0,10.0,0.0,0,0,0,1,0,8.006700845440367,0,man,young,21.0
3.0,20.0,0.0,0,1,0,0,1,10.714439990727769,0,man,experienced,48.0
9.0,8.0,0.0,0,0,0,0,1,10.633472802314019,0,man,experienced,56.0
0.0,10.0,0.0,0,1,0,1,0,6.90875477931522,0,man,young,25.0
1.0,5.0,0.0,0,0,1,1,1,11.289794413577894,0,woman,young,33.0
6.0,15.0,0.0,0,1,1,1,1,10.633472802314019,0,man,experienced,38.0
13.0,20.0,0.0,0,1,0,1,0,10.633472802314019,1,man,young,
12.0,0.0,0.0,0,0,0,1,1,10.633472802314019,0,man,young,28.0
12.0,15.0,0.0,0,1,0,0,1,10.633472802314019,0,man,experienced,36.0
2.0,8.0,0.0,0,1,0,0,1,10.633472802314019,0,man,experienced,40.0
1.0,5.0,0.0,0,0,0,0,0,6.90875477931522,0,man,young,22.0
18.0,50.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,29.0
6.0,15.0,0.0,0,0,1,0,1,10.633472802314019,0,man,young,20.0
12.0,28.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,25.0
1.0,10.0,0.0,0,0,0,0,1,11.002116507732017,0,man,young,19.0
5.0,15.0,0.0,0,0,0,1,0,10.633472802314019,0,woman,young,22.0
24.0,4.0,0.0,0,0,0,1,1,11.289794413577894,0,man,experienced,37.0
4.0,1.0,0.0,0,1,1,1,1,10.12667110305036,0,woman,experienced,54.0
3.0,10.0,0.0,0,1,0,1,1,10.819798284210286,0,man,young,26.0
1.0,5.0,0.0,0,0,0,1,1,11.407576060361786,0,man,experienced,43.0
20.0,12.0,0.0,0,1,0,1,0,11.225256725762893,0,man,young,34.0
48.0,10.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,25.0
5.0,10.0,0.0,0,1,1,0,1,11.156264806643742,0,man,young,31.0
3.0,2.0,0.0,0,0,0,0,0,10.633472802314019,0,man,experienced,50.0
16.0,20.0,0.0,1,0,0,0,0,9.392745258631441,0,man,experienced,40.0
7.0,22.0,0.0,0,1,0,1,1,10.714439990727769,0,man,young,27.0
18.0,25.0,0.0,0,0,0,1,1,10.633472802314019,0,man,experienced,36.0
12.0,8.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,27.0
1.0,20.0,0.0,0,0,1,1,1,10.633472802314019,0,man,experienced,36.0
2.0,30.0,0.0,0,1,0,0,1,10.819798284210286,0,man,experienced,36.0
2.0,10.0,0.0,0,0,0,1,1,11.225256725762893,0,man,young,24.0
6.0,10.0,0.0,0,0,0,1,1,10.633472802314019,0,woman,experienced,42.0
12.0,3.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,17.0
6.0,10.0,0.0,0,0,0,1,1,10.633472802314019,0,woman,young,24.0
3.0,25.0,0.0,0,0,0,0,0,9.392745258631441,0,man,young,29.0
2.0,1.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,
