ed_level_enc,is_employed,is_remote,is_student,years_code,years_code_pro,devtype_developer_full_stack,devtype_developer_back_end,devtype_developer_front_end,devtype_developer_mobile,devtype_data_scientist_or_machine_learning_specialist,devtype_devops_specialist,devtype_engineering_manager,devtype_data_engineer,devtype_developer_desktop_or_enterprise_applications,devtype_security_professional,above_median_salary,ConvertedCompYearly,age_group,age_exp_pro,age_exp_total,exp_pro_bracket,exp_total_bracket
4.0,1,1,0,8.0,5.0,0,1,0,0,0,0,0,0,0,0,0,9175.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,10.0,12.0,1,0,0,0,0,0,0,0,0,0,1,95000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,1,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,55851.0,young,young_junior,young_mid,junior,mid
4.0,1,1,0,18.0,6.0,0,1,0,0,0,0,0,0,0,0,1,96000.0,young,young_mid,young_senior,mid,senior
2.0,1,0,0,35.0,30.0,0,0,0,0,0,0,0,0,0,0,1,188890.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,0,0,25.0,18.0,0,0,0,0,0,0,0,0,0,0,1,161109.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,1,0,12.0,6.0,1,0,0,0,0,0,0,0,0,0,0,61789.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,16.0,9.0,0,0,0,0,0,0,0,0,1,0,1,66151.0,experienced,experienced_mid,experienced_senior,mid,senior
5.0,1,0,0,12.0,9.0,0,0,0,0,0,0,0,0,0,0,1,139628.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,8.0,8.0,0,1,0,0,0,0,0,0,0,0,1,195000.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,15.0,5.0,0,0,0,0,0,0,0,0,0,0,1,82703.0,young,young_mid,young_senior,mid,senior
2.0,1,0,1,7.0,3.0,1,0,0,0,0,0,0,0,0,0,0,23200.0,young,young_junior,young_mid,junior,mid
3.0,1,1,0,20.0,14.0,1,0,0,0,0,0,0,0,0,0,0,24703.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,24.0,9.0,1,0,0,0,0,0,0,0,0,0,0,53703.0,experienced,experienced_mid,experienced_senior,mid,senior
5.0,1,0,0,9.0,3.0,0,1,0,0,0,0,0,0,0,0,0,45111.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,26.0,22.0,1,0,0,0,0,0,0,0,0,0,1,107406.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,0,1,13.0,3.0,1,0,0,0,0,0,0,0,0,0,1,125000.0,experienced,experienced_junior,experienced_mid,junior,mid
5.0,1,0,0,6.0,2.0,1,0,0,0,0,0,0,0,0,0,0,63000.0,young,young_junior,young_mid,junior,mid
5.0,1,0,0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,64444.0,young,young_junior,young_mid,junior,mid
4.0,1,1,0,29.0,25.0,1,0,0,0,0,0,0,0,0,0,0,38666.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,0,0,13.0,4.0,0,0,0,0,0,0,0,0,0,0,0,56156.0,young,young_junior,young_mid,junior,mid
2.0,1,1,0,11.0,1.0,1,0,0,0,0,0,0,0,0,0,0,30000.0,young,young_junior,young_mid,junior,mid
2.0,1,0,0,12.0,8.0,0,0,0,0,0,0,0,0,0,0,1,96096.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,6.0,3.0,0,1,0,0,0,0,0,0,0,0,0,56925.0,young,young_junior,young_mid,junior,mid
5.0,1,1,0,10.0,7.0,0,0,0,0,0,0,1,0,0,0,1,72693.0,young,young_mid,young_mid,mid,mid
4.0,1,0,1,20.0,7.0,0,0,0,0,0,0,0,0,1,0,0,49407.0,young,young_mid,young_senior,mid,senior
5.0,1,0,0,14.0,12.0,0,0,0,0,0,0,0,0,1,0,0,41351.0,experienced,experienced_mid,experienced_mid,mid,mid
4.0,1,1,0,18.0,16.0,0,0,0,1,0,0,0,0,0,0,1,74110.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,0,0,10.0,6.0,0,1,0,0,0,0,0,0,0,0,1,180000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,12.0,5.0,0,0,0,0,0,0,0,0,0,0,1,191082.0,young,young_mid,young_mid,mid,mid
2.0,1,1,0,15.0,7.0,0,0,0,0,0,1,0,0,0,0,0,28233.0,young,young_mid,young_senior,mid,senior
4.0,1,0,1,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,21911.0,young,young_junior,young_mid,junior,mid
6.0,1,1,0,20.0,20.0,0,1,0,0,0,0,0,0,0,0,1,200000.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,0,0,12.0,8.0,0,1,0,0,0,0,0,0,0,0,1,382164.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,26.0,20.0,0,0,0,0,0,0,0,1,0,0,1,80863.0,experienced,experienced_senior,experienced_senior,senior,senior
2.0,1,1,0,28.0,23.0,0,1,0,0,0,0,0,0,0,0,1,85925.0,experienced,experienced_senior,experienced_senior,senior,senior
0.0,1,0,0,4.0,3.0,0,1,0,0,0,0,0,0,0,0,1,71765.0,young,young_junior,young_junior,junior,junior
5.0,1,0,0,30.0,24.0,1,0,0,0,0,0,0,0,0,0,1,71351.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,1,0,25.0,10.0,0,0,0,0,0,0,0,0,1,0,1,112777.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,14.0,10.0,0,1,0,0,0,0,0,0,0,0,1,350000.0,young,young_mid,young_mid,mid,mid
2.0,1,0,1,15.0,3.0,0,1,0,0,0,0,0,0,0,0,0,25443.0,young,young_junior,young_senior,junior,senior
5.0,1,1,0,14.0,8.0,0,1,0,0,0,0,0,0,0,0,1,229298.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,1,71337.0,young,young_junior,young_mid,junior,mid
4.0,1,1,0,6.0,3.0,1,0,0,0,0,0,0,0,0,0,0,15851.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,15.0,9.0,0,0,0,0,0,0,0,0,1,0,1,146000.0,young,young_mid,young_senior,mid,senior
4.0,1,0,0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,1,130000.0,young,young_junior,young_mid,junior,mid
5.0,1,1,0,30.0,22.0,1,0,0,0,0,0,0,0,0,0,1,161830.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,0,0,12.0,7.0,0,1,0,0,0,0,0,0,0,0,1,112309.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,21.0,13.0,0,0,0,0,0,0,0,0,0,0,0,58753.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,12.0,8.0,0,0,0,0,0,0,1,0,0,0,0,688.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,8.0,3.0,0,0,1,0,0,0,0,0,0,0,0,43435.0,young,young_junior,young_mid,junior,mid
4.0,1,1,1,10.0,5.0,1,0,0,0,0,0,0,0,0,0,0,8392.0,young,young_mid,young_mid,mid,mid
5.0,1,1,0,20.0,7.0,0,1,0,0,0,0,0,0,0,0,1,116381.0,young,young_mid,young_senior,mid,senior
4.0,1,1,0,20.0,12.0,0,0,0,0,0,0,0,0,0,0,1,210000.0,experienced,experienced_mid,experienced_senior,mid,senior
5.0,1,1,0,14.0,10.0,0,0,0,0,0,0,0,0,0,0,0,50000.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,8.0,6.0,1,0,0,0,0,0,0,0,0,0,0,31703.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,9.0,6.0,0,0,0,0,0,0,0,0,0,1,1,120000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,40.0,32.0,1,0,0,0,0,0,0,0,0,0,1,320000.0,experienced,experienced_senior,experienced_senior,senior,senior
3.0,1,1,0,6.0,5.0,1,0,0,0,0,0,0,0,0,0,0,12000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,10.0,7.0,0,1,0,0,0,0,0,0,0,0,1,180000.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,12.0,3.0,0,1,0,0,0,0,0,0,0,0,1,256948.0,young,young_junior,young_mid,junior,mid
5.0,1,1,0,15.0,10.0,1,0,0,0,0,0,0,0,0,0,1,65805.0,young,young_mid,young_senior,mid,senior
5.0,1,0,0,10.0,6.0,0,0,0,0,0,0,0,0,0,0,1,122883.0,experienced,experienced_mid,experienced_mid,mid,mid
4.0,1,0,0,30.0,5.0,0,0,0,0,0,0,0,0,0,0,1,99099.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,14.0,10.0,0,1,0,0,0,0,0,0,0,0,1,250000.0,young,young_mid,young_mid,mid,mid
3.0,1,1,0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,896.0,young,young_junior,young_junior,junior,junior
